EmploymentID,EmployeeID,Office,Start_Date,Termination_Date,Office_Type,Currency,Salary,Active Status,Job_Profile
38,100039,NYC,1/4/2010,12/12/2999,Corporate,USD,69000,1,JP_1007
39,100040,NYC,1/11/2010,12/12/2999,Corporate,USD,84000,1,JP_1023
40,100041,NYC,1/11/2010,12/12/2999,Corporate,USD,50000,1,JP_1019
41,100042,NYC,1/11/2010,9/15/2010,Corporate,USD,52000,0,JP_1018
42,100043,NYC,1/25/2010,8/8/2011,Corporate,USD,75000,0,JP_1024
43,100044,NYC,1/25/2010,1/10/2012,Corporate,USD,51000,0,JP_1037
44,100045,NYC,1/25/2010,11/16/2018,Corporate,USD,59000,0,JP_1019
45,100046,NYC,1/25/2010,1/18/2020,Corporate,USD,56000,0,JP_1020
46,100047,NYC,1/25/2010,7/29/2010,Corporate,USD,54000,0,JP_1019
47,100048,NYC,1/25/2010,12/12/2999,Corporate,USD,71000,1,JP_1029
48,100049,Boulder,1/25/2010,10/21/2010,Technology,USD,93000,0,JP_1038
49,100050,Boulder,2/1/2010,5/14/2014,Technology,USD,93000,0,JP_1038
50,100051,NYC,2/8/2010,6/16/2021,Corporate,USD,83000,0,JP_1023
51,100052,NYC,2/8/2010,8/22/2013,Corporate,USD,57000,0,JP_1018
52,100053,NYC,2/15/2010,12/12/2999,Corporate,USD,64000,1,JP_1008
53,100054,Boulder,2/15/2010,4/24/2014,Technology,USD,100000,0,JP_1039
54,100055,Oslo,2/22/2010,8/19/2019,Technology,NOK,537000,0,JP_1038
55,100056,Boulder,3/8/2010,7/15/2011,Technology,USD,100000,0,JP_1038
56,100057,NYC,3/15/2010,4/12/2012,Corporate,USD,72000,0,JP_1029
57,100058,NYC,3/15/2010,12/26/2019,Corporate,USD,70000,0,JP_1031
58,100059,NYC,3/15/2010,7/17/2014,Corporate,USD,65000,0,JP_1006
59,100060,Boulder,3/15/2010,10/7/2013,Technology,USD,96000,0,JP_1040
60,100061,Boulder,3/15/2010,5/9/2014,Technology,USD,94000,0,JP_1038
61,100062,Boulder,3/15/2010,12/20/2013,Technology,USD,91000,0,JP_1038
62,100063,Oslo,3/15/2010,8/16/2022,Technology,NOK,534000,1,JP_1040
63,100064,NYC,3/22/2010,10/28/2011,Corporate,USD,50000,0,JP_1019
64,100065,Boulder,3/22/2010,3/19/2014,Technology,USD,94000,0,JP_1038
65,100066,NYC,4/5/2010,10/25/2013,Corporate,USD,51000,0,JP_1016
66,100067,NYC,4/5/2010,5/16/2012,Corporate,USD,60000,0,JP_1016
67,100068,NYC,4/5/2010,3/25/2011,Corporate,USD,77000,0,JP_1035
68,100069,NYC,4/5/2010,6/15/2011,Corporate,USD,64000,0,JP_1009
69,100070,NYC,4/12/2010,12/27/2010,Corporate,USD,72000,0,JP_1031
70,100071,NYC,4/12/2010,9/14/2010,Corporate,USD,66000,0,JP_1010
71,100072,NYC,4/12/2010,10/25/2012,Corporate,USD,75000,0,JP_1029
72,100073,Boulder,4/19/2010,2/3/2012,Technology,USD,98000,0,JP_1040
73,100074,NYC,4/26/2010,12/12/2999,Corporate,USD,75000,1,JP_1029
74,100075,NYC,4/26/2010,8/21/2019,Corporate,USD,52000,0,JP_1018
75,100076,Boulder,4/26/2010,5/12/2014,Technology,USD,95000,0,JP_1038
76,100077,NYC,5/3/2010,5/18/2012,Corporate,USD,79000,0,JP_1035
77,100078,Boulder,5/3/2010,11/28/2013,Technology,USD,100000,0,JP_1040
78,100079,Boulder,5/10/2010,12/12/2999,Technology,USD,91000,1,JP_1038
79,100080,NYC,5/17/2010,12/12/2999,Corporate,USD,58000,1,JP_1016
80,100081,NYC,5/17/2010,12/23/2011,Corporate,USD,77000,0,JP_1035
81,100082,NYC,5/24/2010,1/4/2023,Corporate,USD,59000,1,JP_1016
82,100083,NYC,5/24/2010,9/2/2010,Corporate,USD,73000,0,JP_1029
83,100084,Boulder,5/24/2010,1/14/2011,Technology,USD,98000,0,JP_1038
84,100085,Boulder,5/24/2010,3/3/2015,Technology,USD,91000,0,JP_1040
85,100086,Boulder,5/24/2010,12/10/2019,Technology,USD,93000,0,JP_1039
86,100087,SanJose,5/24/2010,10/12/2011,Corporate,USD,72000,0,JP_1035
87,100088,Boulder,5/31/2010,11/16/2021,Technology,USD,100000,1,JP_1039
88,100089,Boulder,5/31/2010,12/12/2999,Technology,USD,94000,1,JP_1038
89,100090,Boulder,5/31/2010,12/12/2999,Technology,USD,76000,1,JP_1023
90,100091,Boulder,5/31/2010,2/10/2012,Technology,USD,91000,0,JP_1040
91,100092,Boulder,5/31/2010,11/3/2014,Technology,USD,93000,0,JP_1040
92,100093,NYC,6/7/2010,5/13/2011,Corporate,USD,54000,0,JP_1015
93,100094,NYC,6/7/2010,7/20/2012,Corporate,USD,77000,0,JP_1034
94,100095,Boulder,6/7/2010,12/12/2999,Technology,USD,97000,1,JP_1038
95,100096,Boulder,6/7/2010,1/11/2011,Technology,USD,91000,0,JP_1041
96,100097,NYC,6/14/2010,10/20/2014,Corporate,USD,77000,0,JP_1032
97,100098,Boulder,6/21/2010,7/28/2020,Technology,USD,91000,0,JP_1038
98,100099,Boulder,6/21/2010,12/12/2999,Technology,USD,92000,1,JP_1038
99,100100,Boulder,6/21/2010,5/10/2011,Technology,USD,97000,0,JP_1038
100,100101,NYC,6/28/2010,2/25/2013,Corporate,USD,83000,0,JP_1025
101,100102,NYC,6/28/2010,3/23/2015,Corporate,USD,72000,0,JP_1029
102,100103,Boulder,6/28/2010,12/12/2999,Technology,USD,96000,1,JP_1038
103,100104,Boulder,6/28/2010,9/2/2010,Technology,USD,94000,0,JP_1038
104,100105,Boulder,6/28/2010,11/21/2011,Technology,USD,92000,0,JP_1039
105,100106,Oslo,6/28/2010,12/12/2999,Technology,NOK,539000,1,JP_1038
106,100107,NYC,7/5/2010,10/18/2012,Corporate,USD,74000,0,JP_1032
107,100108,NYC,7/5/2010,2/12/2022,Corporate,USD,58000,1,JP_1016
108,100109,NYC,7/12/2010,12/12/2999,Corporate,USD,75000,1,JP_1031
109,100110,Boulder,7/12/2010,2/29/2020,Technology,USD,93000,0,JP_1039
110,100111,Boulder,7/12/2010,6/27/2014,Technology,USD,99000,0,JP_1038
111,100112,NYC,7/19/2010,12/12/2999,Corporate,USD,54000,1,JP_1016
112,100113,Boulder,7/19/2010,12/12/2999,Technology,USD,97000,1,JP_1038
113,100114,Oslo,7/19/2010,12/12/2999,Technology,NOK,541000,1,JP_1038
114,100115,NYC,7/26/2010,12/30/2010,Corporate,USD,78000,0,JP_1029
115,100116,NYC,7/26/2010,12/12/2999,Corporate,USD,62000,1,JP_1008
116,100117,NYC,7/26/2010,2/20/2020,Corporate,USD,83000,0,JP_1026
117,100118,NYC,7/26/2010,11/12/2013,Corporate,USD,70000,0,JP_1035
118,100119,NYC,7/26/2010,5/22/2021,Corporate,USD,58000,0,JP_1018
119,100120,Boulder,7/26/2010,3/20/2013,Technology,USD,92000,0,JP_1041
120,100121,Boulder,7/26/2010,2/23/2020,Technology,USD,92000,0,JP_1038
121,100122,Boulder,7/26/2010,10/26/2011,Technology,USD,97000,0,JP_1038
122,100123,NYC,8/2/2010,7/18/2013,Corporate,USD,85000,0,JP_1023
123,100124,NYC,8/9/2010,1/19/2015,Corporate,USD,82000,0,JP_1023
124,100125,Boulder,8/9/2010,12/12/2999,Technology,USD,79000,1,JP_1022
125,100126,Boulder,8/9/2010,7/8/2013,Technology,USD,91000,0,JP_1040
126,100127,Oslo,8/9/2010,12/12/2999,Technology,NOK,533000,1,JP_1040
127,100128,NYC,8/16/2010,12/12/2999,Corporate,USD,59000,1,JP_1015
128,100129,Boulder,8/16/2010,8/21/2012,Technology,USD,96000,0,JP_1038
129,100130,Boulder,8/16/2010,4/15/2011,Technology,USD,93000,0,JP_1039
130,100131,Boulder,8/16/2010,12/12/2999,Technology,USD,96000,1,JP_1039
131,100132,NYC,8/23/2010,12/12/2999,Corporate,USD,72000,1,JP_1035
132,100133,NYC,8/23/2010,8/4/2014,Corporate,USD,77000,0,JP_1023
133,100134,Boulder,8/23/2010,12/12/2999,Technology,USD,95000,1,JP_1040
134,100135,Boulder,8/23/2010,5/14/2013,Technology,USD,98000,0,JP_1038
135,100136,Oslo,8/23/2010,11/19/2020,Technology,NOK,537000,0,JP_1038
136,100137,NYC,8/30/2010,12/12/2999,Corporate,USD,64000,1,JP_1008
137,100138,Boulder,8/30/2010,12/12/2999,Technology,USD,91000,1,JP_1038
138,100139,NYC,9/6/2010,5/28/2013,Corporate,USD,54000,0,JP_1016
139,100140,NYC,9/6/2010,2/1/2020,Corporate,USD,78000,0,JP_1029
140,100141,NYC,9/6/2010,10/27/2014,Corporate,USD,58000,0,JP_1015
141,100142,NYC,9/6/2010,11/29/2012,Corporate,USD,65000,0,JP_1008
142,100143,Boulder,9/6/2010,10/31/2012,Technology,USD,92000,0,JP_1039
143,100144,Boulder,9/6/2010,4/16/2012,Technology,USD,94000,0,JP_1038
144,100145,Oslo,9/6/2010,2/12/2021,Technology,NOK,534000,0,JP_1038
145,100146,Boulder,9/13/2010,4/25/2013,Technology,USD,92000,0,JP_1038
146,100147,Boulder,9/13/2010,6/2/2011,Technology,USD,94000,0,JP_1038
147,100148,Boulder,9/13/2010,11/19/2010,Technology,USD,94000,0,JP_1038
148,100149,Oslo,9/13/2010,12/12/2999,Technology,NOK,537000,1,JP_1039
149,100150,Oslo,9/13/2010,3/14/2020,Technology,NOK,531000,0,JP_1039
150,100151,SanJose,9/13/2010,3/22/2013,Corporate,USD,47000,0,JP_1037
151,100152,NYC,9/20/2010,12/12/2999,Corporate,USD,75000,1,JP_1025
152,100153,Boulder,9/20/2010,1/18/2011,Technology,USD,79000,0,JP_1025
153,100154,Boulder,9/20/2010,3/8/2022,Technology,USD,100000,1,JP_1038
154,100155,Oslo,9/20/2010,12/12/2999,Technology,NOK,538000,1,JP_1041
155,100156,Boulder,10/4/2010,3/8/2011,Technology,USD,96000,0,JP_1038
156,100157,Boulder,10/4/2010,12/12/2999,Technology,USD,98000,1,JP_1039
157,100158,NYC,10/11/2010,3/30/2012,Corporate,USD,61000,0,JP_1003
158,100159,Boulder,10/11/2010,6/29/2015,Technology,USD,94000,0,JP_1038
159,100160,Boulder,10/11/2010,6/17/2014,Technology,USD,95000,0,JP_1038
160,100161,NYC,10/18/2010,12/30/2011,Corporate,USD,55000,0,JP_1016
161,100162,NYC,10/18/2010,12/12/2999,Corporate,USD,70000,1,JP_1004
162,100163,Boulder,10/18/2010,11/13/2013,Technology,USD,94000,0,JP_1038
163,100164,NYC,10/25/2010,11/18/2014,Corporate,USD,59000,0,JP_1016
164,100165,NYC,10/25/2010,1/4/2013,Corporate,USD,75000,0,JP_1035
165,100166,NYC,11/1/2010,10/3/2011,Corporate,USD,66000,0,JP_1007
166,100167,NYC,11/15/2010,8/7/2012,Corporate,USD,79000,0,JP_1025
167,100168,Boulder,11/15/2010,9/5/2011,Technology,USD,65000,0,JP_1011
168,100169,Boulder,11/15/2010,4/11/2021,Technology,USD,93000,0,JP_1040
169,100170,Boulder,11/15/2010,11/27/2021,Technology,USD,97000,1,JP_1038
170,100171,Boulder,11/15/2010,12/12/2999,Technology,USD,99000,1,JP_1039
171,100172,NYC,11/22/2010,12/12/2999,Corporate,USD,47000,1,JP_1037
172,100173,NYC,11/22/2010,5/27/2015,Corporate,USD,62000,0,JP_1011
173,100174,NYC,11/22/2010,7/3/2020,Corporate,USD,54000,0,JP_1015
174,100175,NYC,11/22/2010,7/4/2012,Corporate,USD,57000,0,JP_1016
175,100176,Boulder,11/22/2010,11/25/2014,Technology,USD,91000,0,JP_1038
176,100177,Boulder,11/22/2010,12/12/2999,Technology,USD,94000,1,JP_1040
177,100178,Oslo,11/22/2010,7/23/2014,Technology,NOK,537000,0,JP_1038
178,100179,NYC,11/29/2010,7/3/2013,Corporate,USD,59000,0,JP_1018
179,100180,Boulder,11/29/2010,2/3/2011,Technology,USD,96000,0,JP_1039
180,100181,NYC,12/6/2010,12/12/2999,Corporate,USD,54000,1,JP_1015
181,100182,Boulder,12/6/2010,12/12/2999,Technology,USD,92000,1,JP_1038
182,100183,NYC,12/13/2010,3/6/2022,Corporate,USD,66000,1,JP_1012
183,100184,NYC,12/13/2010,12/19/2011,Corporate,USD,64000,0,JP_1004
184,100185,NYC,12/20/2010,8/26/2020,Corporate,USD,74000,0,JP_1034
185,100186,NYC,12/20/2010,4/17/2012,Corporate,USD,65000,0,JP_1007
186,100187,Boulder,12/27/2010,1/26/2011,Technology,USD,96000,0,JP_1038
187,100188,Boulder,12/27/2010,5/22/2015,Technology,USD,96000,0,JP_1038
188,100189,Boulder,12/27/2010,12/12/2999,Technology,USD,99000,1,JP_1040
189,100190,Boulder,12/27/2010,10/28/2023,Technology,USD,98000,1,JP_1041
190,100191,Boulder,12/27/2010,12/12/2999,Technology,USD,95000,1,JP_1038
191,100192,Boulder,12/27/2010,6/21/2013,Technology,USD,98000,0,JP_1040
192,100193,Boulder,12/27/2010,10/17/2019,Technology,USD,96000,0,JP_1038
193,100194,SanJose,12/27/2010,12/12/2999,Corporate,USD,68000,1,JP_1005
194,100195,NYC,1/3/2011,9/13/2012,Corporate,USD,52000,0,JP_1016
195,100196,Boulder,1/3/2011,6/19/2014,Technology,USD,94000,0,JP_1038
196,100197,Boulder,1/3/2011,7/25/2012,Technology,USD,93000,0,JP_1041
197,100198,NYC,1/10/2011,5/10/2022,Corporate,USD,53000,1,JP_1015
198,100199,NYC,1/10/2011,6/26/2013,Corporate,USD,83000,0,JP_1025
199,100200,Boulder,1/10/2011,11/22/2013,Technology,USD,98000,0,JP_1039
200,100201,Boulder,1/10/2011,8/18/2015,Technology,USD,85000,0,JP_1024
201,100202,Boulder,1/10/2011,1/24/2014,Technology,USD,92000,0,JP_1038
202,100203,Boulder,1/10/2011,12/12/2999,Technology,USD,94000,1,JP_1039
203,100204,Boulder,1/10/2011,12/12/2999,Technology,USD,91000,1,JP_1039
204,100205,Boulder,1/10/2011,12/12/2999,Technology,USD,95000,1,JP_1038
205,100206,NYC,1/17/2011,12/12/2999,Corporate,USD,59000,1,JP_1016
206,100207,NYC,1/17/2011,8/9/2020,Corporate,USD,53000,0,JP_1018
207,100208,NYC,1/17/2011,12/12/2999,Corporate,USD,58000,1,JP_1015
208,100209,NYC,1/17/2011,9/8/2015,Corporate,USD,61000,0,JP_1006
209,100210,NYC,1/17/2011,5/5/2022,Corporate,USD,55000,1,JP_1037
210,100211,Boulder,1/17/2011,12/12/2999,Technology,USD,96000,1,JP_1041
211,100212,Boulder,1/17/2011,12/12/2999,Technology,USD,76000,1,JP_1024
212,100213,NYC,1/24/2011,12/12/2999,Corporate,USD,67000,1,JP_1006
213,100214,SanJose,1/24/2011,12/12/2999,Corporate,USD,54000,1,JP_1016
214,100215,NYC,1/31/2011,12/12/2999,Corporate,USD,76000,1,JP_1031
215,100216,NYC,1/31/2011,3/2/2012,Corporate,USD,78000,0,JP_1029
216,100217,Boulder,1/31/2011,11/3/2015,Technology,USD,93000,0,JP_1039
217,100218,Boulder,1/31/2011,12/12/2999,Technology,USD,100000,1,JP_1038
218,100219,Boulder,1/31/2011,12/12/2999,Technology,USD,91000,1,JP_1038
219,100220,Boulder,1/31/2011,12/12/2999,Technology,USD,97000,1,JP_1038
220,100221,Boulder,1/31/2011,12/12/2999,Technology,USD,93000,1,JP_1038
221,100222,Boulder,1/31/2011,9/10/2014,Technology,USD,92000,0,JP_1038
222,100223,NYC,2/7/2011,12/12/2999,Corporate,USD,73000,1,JP_1029
223,100224,Boulder,2/7/2011,12/12/2999,Technology,USD,97000,1,JP_1038
224,100225,Boulder,2/7/2011,7/20/2012,Technology,USD,96000,0,JP_1041
225,100226,Oslo,2/7/2011,7/7/2014,Technology,NOK,539000,0,JP_1038
226,100227,SanJose,2/7/2011,12/12/2999,Corporate,USD,54000,1,JP_1021
227,100228,NYC,2/14/2011,12/12/2999,Corporate,USD,55000,1,JP_1016
228,100229,NYC,2/14/2011,12/12/2999,Corporate,USD,75000,1,JP_1029
229,100230,NYC,2/14/2011,2/11/2015,Corporate,USD,69000,0,JP_1008
230,100231,Boulder,2/14/2011,12/12/2999,Technology,USD,100000,1,JP_1038
231,100232,Boulder,2/14/2011,12/12/2999,Technology,USD,93000,1,JP_1038
232,100233,Oslo,2/14/2011,7/23/2015,Technology,NOK,534000,0,JP_1039
233,100234,Oslo,2/14/2011,5/20/2014,Technology,NOK,539000,0,JP_1041
234,100235,SanJose,2/14/2011,12/12/2999,Corporate,USD,61000,1,JP_1006
235,100236,Oslo,2/21/2011,7/19/2021,Technology,NOK,533000,1,JP_1038
236,100237,Oslo,2/21/2011,12/12/2999,Technology,NOK,537000,1,JP_1038
237,100238,NYC,2/28/2011,2/11/2013,Corporate,USD,74000,0,JP_1029
238,100239,NYC,2/28/2011,12/12/2999,Corporate,USD,52000,1,JP_1016
239,100240,NYC,2/28/2011,12/12/2999,Corporate,USD,56000,1,JP_1016
240,100241,Boulder,2/28/2011,7/1/2023,Technology,USD,97000,1,JP_1038
241,100242,Boulder,2/28/2011,12/26/2014,Technology,USD,97000,0,JP_1040
242,100243,Boulder,2/28/2011,12/12/2999,Technology,USD,95000,1,JP_1039
243,100244,NYC,3/7/2011,9/17/2021,Corporate,USD,52000,1,JP_1016
244,100245,NYC,3/7/2011,4/28/2011,Corporate,USD,55000,0,JP_1015
245,100246,NYC,3/7/2011,12/12/2999,Corporate,USD,46000,1,JP_1037
246,100247,NYC,3/7/2011,5/10/2022,Corporate,USD,69000,1,JP_1008
247,100248,NYC,3/7/2011,12/12/2999,Corporate,USD,49000,1,JP_1037
248,100249,Boulder,3/7/2011,10/6/2022,Technology,USD,91000,1,JP_1038
249,100250,Boulder,3/7/2011,2/27/2015,Technology,USD,93000,0,JP_1040
250,100251,Boulder,3/7/2011,3/2/2021,Technology,USD,94000,0,JP_1039
251,100252,Boulder,3/7/2011,8/22/2014,Technology,USD,99000,0,JP_1038
252,100253,Boulder,3/7/2011,3/20/2012,Technology,USD,92000,0,JP_1040
253,100254,NYC,3/14/2011,12/12/2999,Corporate,USD,56000,1,JP_1015
254,100255,NYC,3/14/2011,12/12/2999,Corporate,USD,72000,1,JP_1031
255,100256,NYC,3/14/2011,10/29/2014,Corporate,USD,54000,0,JP_1016
256,100257,Boulder,3/14/2011,12/12/2999,Technology,USD,92000,1,JP_1038
257,100258,Boulder,3/14/2011,8/24/2023,Technology,USD,99000,1,JP_1040
258,100259,Boulder,3/14/2011,6/11/2022,Technology,USD,97000,1,JP_1038
259,100260,Oslo,3/14/2011,12/8/2011,Technology,NOK,540000,0,JP_1038
260,100261,NYC,3/21/2011,12/12/2999,Corporate,USD,62000,1,JP_1005
261,100262,NYC,3/21/2011,6/1/2015,Corporate,USD,66000,0,JP_1004
262,100263,NYC,3/21/2011,12/12/2999,Corporate,USD,52000,1,JP_1019
263,100264,NYC,3/21/2011,3/6/2015,Corporate,USD,74000,0,JP_1035
264,100265,Boulder,3/21/2011,12/12/2999,Technology,USD,94000,1,JP_1038
265,100266,Boulder,3/21/2011,12/12/2999,Technology,USD,96000,1,JP_1038
266,100267,Boulder,3/21/2011,12/12/2999,Technology,USD,100000,1,JP_1038
267,100268,Boulder,3/21/2011,12/12/2999,Technology,USD,99000,1,JP_1038
268,100269,Oslo,3/21/2011,12/12/2999,Technology,NOK,540000,1,JP_1039
269,100270,NYC,3/28/2011,1/5/2015,Corporate,USD,75000,0,JP_1029
270,100271,NYC,3/28/2011,11/27/2013,Corporate,USD,68000,0,JP_1009
271,100272,NYC,4/4/2011,5/13/2014,Corporate,USD,65000,0,JP_1002
272,100273,NYC,4/4/2011,2/13/2014,Corporate,USD,46000,0,JP_1037
273,100274,NYC,4/4/2011,12/12/2999,Corporate,USD,51000,1,JP_1018
274,100275,NYC,4/4/2011,8/3/2015,Corporate,USD,76000,0,JP_1024
275,100276,Boulder,4/4/2011,11/10/2011,Technology,USD,94000,0,JP_1040
276,100277,NYC,4/11/2011,12/12/2999,Corporate,USD,78000,1,JP_1029
277,100278,NYC,4/11/2011,1/9/2013,Corporate,USD,65000,0,JP_1004
278,100279,NYC,4/11/2011,3/17/2023,Corporate,USD,64000,1,JP_1010
279,100280,Boulder,4/11/2011,2/23/2021,Technology,USD,93000,0,JP_1038
280,100281,Boulder,4/11/2011,1/29/2013,Technology,USD,93000,0,JP_1040
281,100282,Oslo,4/11/2011,12/12/2999,Technology,NOK,535000,1,JP_1038
282,100283,NYC,4/18/2011,10/16/2012,Corporate,USD,74000,0,JP_1032
283,100284,NYC,4/18/2011,12/12/2999,Corporate,USD,55000,1,JP_1015
284,100285,NYC,4/18/2011,12/12/2999,Corporate,USD,74000,1,JP_1032
285,100286,Boulder,4/18/2011,7/26/2020,Technology,USD,97000,0,JP_1040
286,100287,Boulder,4/18/2011,12/12/2999,Technology,USD,92000,1,JP_1040
287,100288,Boulder,4/18/2011,11/14/2014,Technology,USD,91000,0,JP_1039
288,100289,NYC,4/25/2011,8/5/2013,Corporate,USD,77000,0,JP_1032
289,100290,NYC,4/25/2011,7/7/2011,Corporate,USD,50000,0,JP_1016
290,100291,Boulder,4/25/2011,4/12/2019,Technology,USD,92000,0,JP_1038
291,100292,Boulder,4/25/2011,8/29/2018,Technology,USD,99000,0,JP_1038
292,100293,Boulder,4/25/2011,7/15/2011,Technology,USD,98000,0,JP_1038
293,100294,NYC,5/2/2011,6/18/2018,Corporate,USD,75000,0,JP_1034
294,100295,NYC,5/2/2011,8/31/2021,Corporate,USD,84000,1,JP_1022
295,100296,Boulder,5/2/2011,12/17/2013,Technology,USD,91000,0,JP_1040
296,100297,Boulder,5/2/2011,3/20/2014,Technology,USD,98000,0,JP_1039
297,100298,NYC,5/9/2011,12/12/2999,Corporate,USD,52000,1,JP_1037
298,100299,Boulder,5/16/2011,8/27/2012,Technology,USD,76000,0,JP_1023
299,100300,Oslo,5/16/2011,12/12/2999,Technology,NOK,535000,1,JP_1038
300,100301,NYC,5/23/2011,7/22/2014,Corporate,USD,58000,0,JP_1015
301,100302,NYC,5/23/2011,1/30/2013,Corporate,USD,76000,0,JP_1029
302,100303,Boulder,5/23/2011,10/12/2012,Technology,USD,68000,0,JP_1008
303,100304,Boulder,5/30/2011,7/2/2015,Technology,USD,99000,0,JP_1040
304,100305,NYC,6/6/2011,9/8/2021,Corporate,USD,54000,1,JP_1016
305,100306,NYC,6/6/2011,8/8/2014,Corporate,USD,77000,0,JP_1025
306,100307,NYC,6/6/2011,12/12/2999,Corporate,USD,69000,1,JP_1012
307,100308,NYC,6/6/2011,1/22/2014,Corporate,USD,57000,0,JP_1015
308,100309,Boulder,6/6/2011,8/15/2013,Technology,USD,99000,0,JP_1038
309,100310,NYC,6/13/2011,11/17/2015,Corporate,USD,64000,0,JP_1008
310,100311,NYC,6/13/2011,11/27/2014,Corporate,USD,55000,0,JP_1015
311,100312,Boulder,6/20/2011,1/20/2012,Technology,USD,92000,0,JP_1038
312,100313,Boulder,6/20/2011,2/12/2023,Technology,USD,94000,1,JP_1041
313,100314,Boulder,6/20/2011,1/19/2012,Technology,USD,96000,0,JP_1040
314,100315,Boulder,6/20/2011,8/10/2018,Technology,USD,96000,0,JP_1038
315,100316,NYC,6/27/2011,10/21/2011,Corporate,USD,74000,0,JP_1029
316,100317,Boulder,6/27/2011,12/20/2012,Technology,USD,90000,0,JP_1038
317,100318,Boulder,6/27/2011,12/12/2999,Technology,USD,100000,1,JP_1038
318,100319,Boulder,6/27/2011,3/28/2012,Technology,USD,97000,0,JP_1040
319,100320,NYC,7/4/2011,12/30/2014,Corporate,USD,68000,0,JP_1013
320,100321,NYC,7/4/2011,9/11/2014,Corporate,USD,68000,0,JP_1001
321,100322,NYC,7/4/2011,12/22/2011,Corporate,USD,65000,0,JP_1004
322,100323,Boulder,7/4/2011,7/28/2015,Technology,USD,100000,0,JP_1040
323,100324,NYC,7/11/2011,3/19/2014,Corporate,USD,55000,0,JP_1016
324,100325,NYC,7/11/2011,12/14/2011,Corporate,USD,76000,0,JP_1032
325,100326,NYC,7/11/2011,12/12/2999,Corporate,USD,75000,1,JP_1029
326,100327,Boulder,7/11/2011,1/23/2019,Technology,USD,96000,0,JP_1038
327,100328,Boulder,7/11/2011,4/27/2022,Technology,USD,97000,1,JP_1038
328,100329,Boulder,7/11/2011,12/12/2999,Technology,USD,95000,1,JP_1040
329,100330,NYC,7/18/2011,12/12/2999,Corporate,USD,76000,1,JP_1029
